PackNum,Precision,Recall
1,0.49926144756277696,1.0
2,0.6717892189095999,1.0
3,0.6516990423940645,1.0
4,0.647210655702288,1.0
5,0.6405809125708372,1.0
6,0.6369487219020821,1.0
7,0.6326119095308861,1.0
8,0.627960388146637,1.0
9,0.6213235294117647,1.0
10,0.619057286941113,1.0
11,0.6134314740556356,1.0
12,0.6126892694003875,1.0
13,0.7599606199732064,1.0
14,0.7599606199732064,1.0
15,0.7599606199732064,1.0
16,0.7595968176577875,1.0
17,0.7808677038299304,1.0
18,0.7574411435472422,1.0
19,0.7565540568266419,1.0
20,0.7831076334245695,1.0
