Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.05,0.0
10,                0.07,                0.07,                0.07,0.0
15,                0.08,                0.07,                0.09,0.0
20,                0.10,                0.09,                0.11,0.0
25,                0.13,                0.11,                0.15,0.0
30,                0.16,                0.15,                0.19,0.0
35,                0.22,                0.19,                0.27,0.0
40,                0.58,                0.41,                1.01,0.0
45,                8.07,                1.23,               31.25,0.0
50,                8.13,                1.29,               31.31,0.0
55,                8.19,                1.35,               31.37,0.0
60,                8.27,                1.43,               31.41,0.0
65,                8.39,                1.51,               31.57,0.0
70,               13.34,                1.85,               38.39,0.0
75,               38.96,               12.33,               80.31,0.0
80,              102.89,               37.33,              159.33,0.0
85,              228.70,              125.10,              352.10,0.0
90,              442.88,              241.51,              567.51,0.0
95,              865.58,              509.23,             1149.45,0.0
100,             2128.74,             1730.10,             2396.10,0.0
