Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.35,                0.29,                0.43,0.0
10,                0.77,                0.59,                0.99,0.0
15,               35.72,                1.21,              118.17,0.0
20,               35.77,                1.25,              118.23,0.0
25,               35.87,                1.27,              118.27,0.0
30,               35.91,                1.31,              118.31,0.0
35,               35.94,                1.35,              118.35,0.0
40,               35.99,                1.39,              118.37,0.0
45,               36.05,                1.43,              118.41,0.0
50,               36.95,                1.49,              118.47,0.0
55,               37.48,                1.57,              118.55,0.0
60,               38.48,                1.71,              119.25,0.0
65,               43.79,                5.61,              119.63,0.0
70,               63.24,                7.61,              147.23,0.0
75,              100.76,               37.19,              202.10,0.0
80,              165.27,               80.47,              310.31,0.0
85,              281.26,              173.53,              444.25,0.0
90,              481.91,              272.15,              708.21,0.0
95,              869.48,              556.25,             1178.25,0.0
100,             2207.88,             1783.37,             2385.10,0.0
