PackNum,Precision,Recall
1,0.09896602658788774,1.0
2,0.15033566531363887,1.0
3,0.14229815524951855,1.0
4,0.13908865067280515,1.0
5,0.1362657210061444,1.0
6,0.13542809620495846,1.0
7,0.13353688555511578,1.0
8,0.13320903274634696,1.0
9,0.1313161265288391,1.0
10,0.1292268007488627,1.0
11,0.41561024701618693,1.0
12,0.415150295222759,1.0
13,0.41507713258768103,1.0
14,0.4147730294649505,1.0
15,0.4145497502898225,1.0
16,0.41432623367286325,1.0
17,0.4136000602772755,1.0
18,0.4129553369429828,1.0
19,0.4129553369429828,1.0
20,0.4128154142972335,1.0
