Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.22,                0.21,                0.23,0.0
10,                0.26,                0.25,                0.27,0.0
15,                0.29,                0.27,                0.31,0.0
20,                0.33,                0.31,                0.35,0.0
25,                0.36,                0.33,                0.39,0.0
30,                0.40,                0.37,                0.43,0.0
35,                0.44,                0.41,                0.47,0.0
40,                0.50,                0.47,                0.55,0.0
45,                0.59,                0.53,                0.63,0.0
50,                0.95,                0.77,                1.17,0.0
55,                7.49,                1.23,               35.25,0.0
60,                7.64,                1.29,               35.29,0.0
65,                8.15,                1.35,               36.17,0.0
70,                8.46,                1.41,               36.35,0.0
75,                9.00,                1.53,               36.53,0.0
80,               14.35,                2.81,               47.55,0.0
85,               43.78,               15.45,              103.33,0.0
90,              153.41,               50.27,              266.10,0.0
95,              461.67,              268.39,              752.10,0.0
100,             1981.43,             1020.49,             2352.10,0.0
