Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.05,0.0
10,                0.06,                0.05,                0.07,0.0
15,                0.07,                0.07,                0.07,0.0
20,                0.09,                0.07,                0.09,0.0
25,                0.10,                0.09,                0.11,0.0
30,                0.12,                0.11,                0.13,0.0
35,                0.15,                0.13,                0.17,0.0
40,                0.18,                0.17,                0.19,0.0
45,                0.25,                0.21,                0.27,0.0
50,                0.53,                0.41,                0.75,0.0
55,                7.49,                1.23,               35.25,0.0
60,                7.64,                1.31,               35.31,0.0
65,                8.16,                1.35,               36.15,0.0
70,                8.46,                1.43,               36.35,0.0
75,                9.00,                1.55,               36.51,0.0
80,               14.37,                2.61,               47.61,0.0
85,               43.79,               15.47,              103.15,0.0
90,              153.39,               50.45,              266.10,0.0
95,              461.66,              268.19,              752.10,0.0
100,             1981.43,             1020.73,             2352.10,0.0
