Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.00,                0.00,                0.00,0.0
10,                0.00,                0.00,                0.00,0.0
15,                0.00,                0.00,                0.00,0.0
20,                0.00,                0.00,                0.00,0.0
25,                0.00,                0.00,                0.00,0.0
30,                0.00,                0.00,                0.00,0.0
35,                0.00,                0.00,                0.00,0.0
40,                0.00,                0.00,                0.00,0.0
45,                0.00,                0.00,                0.00,0.0
50,                0.70,                0.00,                1.00,0.0
55,                8.49,                1.00,               49.00,0.0
60,                8.51,                1.00,               49.00,0.0
65,                8.51,                1.00,               49.00,0.0
70,                8.53,                1.00,               49.00,0.0
75,                9.26,                1.00,               49.00,0.0
80,               14.81,                1.00,               49.00,0.0
85,               44.40,               16.00,               90.00,0.0
90,              161.07,               89.00,              262.00,0.0
95,              464.84,              270.00,              697.00,0.0
100,             1981.12,             1455.00,             2373.00,0.0
