PackNum,Precision,Recall
1,0.49926144756277696,1.0
2,0.6717892189095999,1.0
3,0.6516990423940645,1.0
4,0.6775916127767979,1.0
5,0.6838794659983414,1.0
6,0.6847808029370225,1.0
7,0.6907861500476001,1.0
8,0.6964312031652099,1.0
9,0.6964312031652099,1.0
10,0.7042296472040862,1.0
11,0.6932457239689755,1.0
12,0.6979309219024614,1.0
13,0.8036400885646549,1.0
14,0.8101428722679276,1.0
15,0.8133222143664304,1.0
16,0.81380020285511,1.0
17,0.8227863625214619,1.0
18,0.8148982757047715,1.0
19,0.8158601904273316,1.0
20,0.8259646507123378,1.0
