Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.05,0.0
10,                0.06,                0.05,                0.07,0.0
15,                0.07,                0.07,                0.07,0.0
20,                0.09,                0.07,                0.09,0.0
25,                0.10,                0.09,                0.11,0.0
30,                0.12,                0.11,                0.13,0.0
35,                0.15,                0.13,                0.17,0.0
40,                0.18,                0.17,                0.21,0.0
45,                0.24,                0.21,                0.27,0.0
50,                0.58,                0.39,                0.99,0.0
55,                6.79,                1.25,               34.27,0.0
60,                6.86,                1.31,               34.35,0.0
65,                6.95,                1.41,               34.45,0.0
70,                7.11,                1.49,               34.67,0.0
75,               15.50,                3.43,               47.25,0.0
80,               61.15,                7.55,              121.33,0.0
85,              191.92,               92.10,              299.21,0.0
90,              400.19,              220.19,              604.29,0.0
95,              768.99,              460.31,              973.10,0.0
100,             2138.90,             1711.29,             2376.10,0.0
