PackNum,Precision,Recall
1,0.19940915805022155,1.0
2,0.287478422558708,1.0
3,0.27759702914982415,1.0
4,0.2714662946802271,1.0
5,0.26527141758523926,1.0
6,0.262699614032945,1.0
7,0.2609862103490648,1.0
8,0.2601492688680131,1.0
9,0.2583313000402876,1.0
10,0.255377766045475,1.0
11,0.2544282657366772,1.0
12,0.25142671958402424,1.0
13,0.4989582486839848,1.0
14,0.7492354740061162,1.0
15,0.7481884057971016,1.0
16,0.7474566128067025,1.0
17,0.5148985884280002,1.0
18,0.5148985884280002,1.0
19,1.0,1.0
20,1.0,1.0
