PackNum,Precision,Recall
1,0.6499261447562777,1.0
2,0.7933831125164538,0.8234848484848486
3,0.784827419106298,0.8727272727272727
4,0.8019664676169252,0.7454545454545455
5,0.8792030299595753,0.546969696969697
6,0.8241698732302968,0.6848484848484849
7,0.8251864745395708,0.6712121212121213
8,0.8868742109423855,0.48636363636363633
9,0.8874051124999257,0.48484848484848486
10,0.8870632875143185,0.4787878787878788
11,0.8697292353206332,0.5537878787878788
12,0.8711855672393035,0.5515151515151516
13,0.987766046589576,0.20303030303030303
14,0.8920758371378218,0.4992424242424242
15,0.8976353574054724,0.4886363636363636
16,0.9904257999496094,0.2272727272727273
17,0.9904257999496094,0.2212121212121212
18,0.9904257999496094,0.2212121212121212
19,0.9540626315619029,0.36287878787878797
20,1.0,0.16287878787878787
