Time,Precision,Recall
18097,0.5272373540856031,1.0
34112,0.5610766045548654,1.0
53596,0.5657620041753654,1.0
71745,0.5681341719077568,1.0
105968,0.569327731092437,1.0
144209,0.5717299578059072,1.0
180928,0.9377162629757786,1.0
235383,0.9475524475524476,1.0
283267,1.0,1.0
20046,0.517175572519084,1.0
38011,0.5324165029469549,1.0
53782,0.5530612244897959,1.0
73329,0.555327868852459,1.0
89039,0.5564681724845996,1.0
107369,0.5576131687242798,1.0
124360,1.0,0.959409594095941
286412,1.0,0.6863468634686347
19312,0.5282651072124757,1.0
36425,1.0,1.0
106437,1.0,0.5018450184501845
