Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.07,                0.05,                0.07,0.0
10,                0.10,                0.09,                0.11,0.0
15,                0.16,                0.13,                0.19,0.0
20,                0.51,                0.37,                0.83,0.0
25,               18.22,                2.21,               90.15,0.0
30,               18.26,                2.25,               90.23,0.0
35,               18.30,                2.29,               90.27,0.0
40,               18.34,                2.33,               90.31,0.0
45,               18.38,                2.37,               90.35,0.0
50,               18.43,                2.43,               90.39,0.0
55,               18.49,                2.49,               90.45,0.0
60,               18.59,                2.59,               90.57,0.0
65,               23.32,                3.97,               90.79,0.0
70,               33.72,                9.33,               91.57,0.0
75,               73.12,               25.53,              131.10,0.0
80,              144.35,               68.51,              235.10,0.0
85,              260.38,              154.10,              412.10,0.0
90,              471.70,              268.55,              680.21,0.0
95,              871.54,              551.27,             1133.10,0.0
100,             2153.13,             1740.10,             2386.10,0.0
