PackNum,Precision,Recall
1,0.3988183161004431,1.0
2,0.5456030139096384,1.0
3,0.5339952990460292,1.0
4,0.5606021888376925,1.0
5,0.5716857102148384,1.0
6,0.5807303728909944,1.0
7,0.5979998262606959,1.0
8,0.5857877139598203,1.0
9,0.5777608264098228,1.0
10,0.5836104855437716,1.0
11,0.5840312311049058,1.0
12,0.5920288844611129,1.0
13,0.5946509869502812,1.0
14,0.595066326836755,1.0
15,0.5974057613314202,1.0
16,0.5858560794044664,1.0
17,0.5871039353254309,1.0
18,0.6254001205384049,1.0
19,0.6263796477690161,1.0
20,0.644061750935866,1.0
