PackNum,Precision,Recall
1,0.49926144756277696,1.0
2,0.6717892189095999,1.0
3,0.6516990423940645,1.0
4,0.7941858779179354,1.0
5,0.8022938521643465,1.0
6,0.6847808029370225,1.0
7,0.6907861500476001,1.0
8,0.8248196248196248,1.0
9,0.8248196248196248,1.0
10,0.8369777671225123,1.0
11,0.7141535515654734,1.0
12,0.7245543097662509,1.0
13,0.8697775591256175,1.0
14,0.814992943368822,1.0
15,0.8196937099713454,1.0
16,0.8834988798350483,1.0
17,0.8834988798350483,1.0
18,0.8834988798350483,1.0
19,0.8238521157453905,1.0
20,0.8878348337998988,1.0
