Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.07,                0.05,                0.07,0.0
10,                0.10,                0.09,                0.11,0.0
15,                0.16,                0.13,                0.19,0.0
20,                0.43,                0.29,                0.65,0.0
25,               15.00,                1.21,               58.23,0.0
30,               15.05,                1.23,               58.29,0.0
35,               15.10,                1.27,               58.35,0.0
40,               15.35,                1.29,               58.41,0.0
45,               15.63,                1.31,               58.49,0.0
50,               15.87,                1.35,               58.71,0.0
55,               16.52,                1.39,               70.25,0.0
60,               17.52,                1.43,               70.35,0.0
65,               19.52,                1.53,               71.31,0.0
70,               28.83,                5.29,               81.39,0.0
75,               51.32,                5.53,              122.35,0.0
80,              111.80,               58.27,              188.15,0.0
85,              215.21,              137.53,              319.10,0.0
90,              398.73,              263.45,              540.43,0.0
95,              772.31,              611.03,              960.93,0.0
100,             2202.19,             1909.83,             2379.10,0.0
