Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.00,                0.00,                0.00,0.0
10,                0.00,                0.00,                0.00,0.0
15,                0.00,                0.00,                0.00,0.0
20,                0.39,                0.00,                1.00,0.0
25,               43.95,                2.00,              145.00,0.0
30,               48.12,                2.00,              245.00,0.0
35,               48.14,                2.00,              245.00,0.0
40,               48.14,                2.00,              245.00,0.0
45,               48.14,                2.00,              245.00,0.0
50,               48.14,                2.00,              245.00,0.0
55,               49.21,                2.00,              245.00,0.0
60,               49.88,                2.00,              245.00,0.0
65,               51.25,                2.00,              245.00,0.0
70,               55.91,                3.00,              248.00,0.0
75,               76.75,               11.00,              264.00,0.0
80,              129.75,               33.00,              324.00,0.0
85,              230.68,              108.00,              433.00,0.0
90,              417.54,              223.00,              601.00,0.0
95,              795.11,              477.00,             1043.00,0.0
100,             2119.61,             1643.00,             2386.00,0.0
