PackNum,Precision,Recall
1,0.09896602658788774,1.0
2,0.15033566531363887,1.0
3,0.14229815524951855,1.0
4,0.15130570123495965,1.0
5,0.15518236342542244,1.0
6,0.1607602392574415,1.0
7,0.16335154511929806,1.0
8,0.15994550752104827,1.0
9,0.16089144427417149,1.0
10,0.16328025462360618,1.0
11,0.4398130784471948,1.0
12,0.4395682503770739,1.0
13,0.4401938339438339,1.0
14,0.439816709098624,1.0
15,0.4414907754846779,1.0
16,0.4414907754846779,1.0
17,0.4400675284731104,1.0
18,0.44019689208138973,1.0
19,0.44058875077831333,1.0
20,0.4407150562490368,1.0
