Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.05,0.0
10,                0.07,                0.07,                0.09,0.0
15,                0.09,                0.09,                0.11,0.0
20,                0.12,                0.11,                0.13,0.0
25,                0.16,                0.13,                0.17,0.0
30,                0.24,                0.21,                0.29,0.0
35,               12.25,                1.17,               32.15,0.0
40,               12.44,                1.25,               32.25,0.0
45,               12.61,                1.29,               32.29,0.0
50,               12.82,                1.33,               32.31,0.0
55,               13.01,                1.39,               32.37,0.0
60,               13.21,                1.45,               32.45,0.0
65,               13.35,                1.53,               32.53,0.0
70,               14.48,                1.77,               32.71,0.0
75,               25.39,                4.77,               80.25,0.0
80,               65.41,               25.47,              140.27,0.0
85,              149.46,               76.35,              220.49,0.0
90,              321.87,              166.39,              452.45,0.0
95,              666.96,              401.39,              878.10,0.0
100,             2116.26,             1513.12,             2398.10,0.0
