Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.05,0.0
10,                0.06,                0.05,                0.07,0.0
15,                0.07,                0.07,                0.07,0.0
20,                0.09,                0.07,                0.09,0.0
25,                0.10,                0.09,                0.11,0.0
30,                0.12,                0.11,                0.13,0.0
35,                0.15,                0.13,                0.17,0.0
40,                0.18,                0.17,                0.21,0.0
45,                0.24,                0.21,                0.27,0.0
50,                0.52,                0.39,                0.63,0.0
55,                6.05,                1.25,               34.21,0.0
60,                6.11,                1.29,               34.29,0.0
65,                6.19,                1.35,               34.37,0.0
70,                6.91,                1.43,               34.45,0.0
75,                8.74,                1.53,               34.61,0.0
80,               12.35,                1.87,               41.33,0.0
85,               46.51,               16.53,               99.37,0.0
90,              145.26,               64.37,              258.49,0.0
95,              457.42,              312.10,              651.73,0.0
100,             2069.06,             1652.10,             2373.10,0.0
