PackNum,Precision,Recall
1,0.19940915805022155,1.0
2,0.287478422558708,1.0
3,0.27759702914982415,1.0
4,0.29096548233210995,1.0
5,0.2984537671987195,1.0
6,0.3024729925830377,1.0
7,0.3079904730771027,1.0
8,0.30989744485681303,1.0
9,0.3101316859268038,1.0
10,0.3087066393516184,1.0
11,0.3101803139042521,1.0
12,0.30868938277796937,1.0
13,0.5402309784523457,1.0
14,0.7689393939393939,1.0
15,0.7701149425287356,1.0
16,0.7701149425287356,1.0
17,0.5511040800759663,1.0
18,0.5570199692780338,1.0
19,1.0,1.0
20,1.0,1.0
