PackNum,Precision,Recall
1,0.6499261447562777,1.0
2,0.7933831125164538,0.8234848484848486
3,0.784827419106298,0.8727272727272727
4,0.7826429254178615,0.9106060606060605
5,0.7810190017081863,0.9356060606060606
6,0.780469275323075,0.9462121212121213
7,0.7764722709237027,0.956060606060606
8,0.7771556895452355,0.9651515151515152
9,0.771464380363362,0.9712121212121212
10,0.7647222701528573,0.9772727272727272
11,0.7569303597176953,0.9825757575757575
12,0.7558831781883768,0.984090909090909
13,0.755423173077209,0.984090909090909
14,0.7530193953007367,0.9856060606060607
15,0.7524180017101463,0.9871212121212122
16,0.7518473510146766,0.9886363636363636
17,0.747950522183542,0.9909090909090909
18,0.7465741172468601,0.9946969696969697
19,0.7432466632974247,0.9954545454545455
20,0.7422751035574513,0.9969696969696971
