Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.00,                0.00,                0.00,0.0
10,                0.00,                0.00,                0.00,0.0
15,                0.00,                0.00,                0.00,0.0
20,                0.00,                0.00,                0.00,0.0
25,                0.00,                0.00,                0.00,0.0
30,                0.00,                0.00,                0.00,0.0
35,                0.00,                0.00,                0.00,0.0
40,                0.00,                0.00,                0.00,0.0
45,               13.31,                1.00,              134.00,0.0
50,               13.45,                1.00,              142.00,0.0
55,               13.45,                1.00,              142.00,0.0
60,               13.45,                1.00,              142.00,0.0
65,               13.86,                1.00,              142.00,0.0
70,               14.12,                1.00,              142.00,0.0
75,               19.24,                1.00,              144.00,0.0
80,               41.66,                5.00,              155.00,0.0
85,              104.66,               32.00,              238.00,0.0
90,              255.76,              143.00,              450.00,0.0
95,              621.22,              368.00,             1118.00,0.0
100,             2041.00,             1492.00,             2396.00,0.0
