PackNum,Precision,Recall
1,0.6499261447562777,1.0
2,0.7933831125164538,0.8234848484848486
3,0.784827419106298,0.8727272727272727
4,0.7885389513784937,0.8136363636363636
5,0.7907589848773179,0.7954545454545454
6,0.7971283076030554,0.7712121212121211
7,0.7954740638871239,0.7833333333333333
8,0.7926495765377787,0.7787878787878788
9,0.7934801948012198,0.7621212121212121
10,0.7931261583147012,0.7636363636363637
11,0.7946162992840285,0.7734848484848484
12,0.7948253932020197,0.765909090909091
13,0.7951730418943533,0.7674242424242425
14,0.7929488115773258,0.765909090909091
15,0.7972993125550979,0.7598484848484848
16,0.7961667882849423,0.7575757575757575
17,0.7919632759732474,0.7613636363636364
18,0.7921107518934157,0.7590909090909091
19,0.7927230280299534,0.756060606060606
20,0.7938196555217831,0.7613636363636364
