Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.10,                0.09,                0.13,0.0
10,                0.38,                0.25,                0.53,0.0
15,               35.72,                1.23,              118.17,0.0
20,               35.77,                1.27,              118.23,0.0
25,               35.87,                1.29,              118.27,0.0
30,               35.90,                1.31,              118.31,0.0
35,               35.94,                1.35,              118.35,0.0
40,               35.99,                1.39,              118.39,0.0
45,               36.06,                1.43,              118.43,0.0
50,               36.95,                1.47,              118.49,0.0
55,               37.48,                1.53,              118.57,0.0
60,               38.48,                1.73,              119.27,0.0
65,               43.78,                5.49,              119.71,0.0
70,               63.26,                7.61,              147.17,0.0
75,              100.72,               37.33,              202.10,0.0
80,              165.05,               80.37,              310.61,0.0
85,              281.24,              173.31,              444.37,0.0
90,              481.68,              272.19,              708.29,0.0
95,              869.51,              556.39,             1178.51,0.0
100,             2207.87,             1783.19,             2385.10,0.0
