PackNum,Precision,Recall
1,0.3988183161004431,1.0
2,0.5456030139096384,1.0
3,0.5339952990460292,1.0
4,0.7286411324539074,1.0
5,0.7317213699403756,1.0
6,0.5807303728909944,1.0
7,0.5979998262606959,1.0
8,0.9869513641755635,1.0
9,0.9869513641755635,1.0
10,0.9869513641755635,1.0
11,0.6258009789475497,1.0
12,0.6258009789475497,1.0
13,0.9880952380952381,1.0
14,0.6341566736183525,1.0
15,0.6480445514356025,1.0
16,0.9880952380952381,1.0
17,0.9880952380952381,1.0
18,0.9880952380952381,1.0
19,0.6731869607233224,1.0
20,0.9904076738609113,1.0
