PackNum,Precision,Recall
1,0.3988183161004431,1.0
2,0.5456030139096384,1.0
3,0.5339952990460292,1.0
4,0.5270768033900395,1.0
5,0.5223225080881861,1.0
6,0.5199809691997191,1.0
7,0.516619913384691,1.0
8,0.5116944376378338,1.0
9,0.5075235789282407,1.0
10,0.5065749456628342,1.0
11,0.5028245080389845,1.0
12,0.500997201550453,1.0
13,0.49911758735862416,1.0
14,0.4969665279362592,1.0
15,0.5190807156965481,1.0
16,0.491810875744156,1.0
17,0.48944780269894256,1.0
18,0.5391259262736329,1.0
19,0.5369811292643355,1.0
20,0.5598114386611136,1.0
