Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.07,0.0
10,                0.07,                0.07,                0.09,0.0
15,                0.10,                0.09,                0.11,0.0
20,                0.14,                0.13,                0.17,0.0
25,                0.20,                0.17,                0.23,0.0
30,                0.54,                0.33,                0.89,0.0
35,               14.99,                1.23,               58.23,0.0
40,               15.04,                1.27,               58.25,0.0
45,               15.08,                1.31,               58.31,0.0
50,               15.13,                1.37,               58.37,0.0
55,               15.19,                1.41,               58.41,0.0
60,               15.28,                1.51,               58.47,0.0
65,               15.63,                1.71,               58.57,0.0
70,               24.41,                2.59,               66.25,0.0
75,               54.82,               12.25,              120.25,0.0
80,              120.44,               42.51,              189.63,0.0
85,              251.56,              143.43,              360.25,0.0
90,              476.30,              260.33,              631.37,0.0
95,              844.84,              550.59,             1059.12,0.0
100,             2151.39,             1813.31,             2396.10,0.0
