PackNum,Precision,Recall
1,0.6499261447562777,1.0
2,0.7874657773991095,0.859090909090909
3,0.784666999716475,0.9136363636363637
4,0.7980599942738763,0.7818181818181819
5,0.7989315091946242,0.7613636363636364
6,0.7947625769318994,0.8037878787878788
7,0.7972653296213225,0.7863636363636363
8,0.8692975884342032,0.5750000000000001
9,0.8716303012141949,0.5681818181818182
10,0.8716303012141949,0.5666666666666668
11,0.8061896785514877,0.734090909090909
12,0.807035228688903,0.7318181818181818
13,0.9391385767790262,0.3984848484848485
14,0.9343434343434343,0.5265151515151515
15,0.9370567375886525,0.5151515151515152
16,0.9442508710801394,0.3212121212121212
17,0.9452214452214452,0.3212121212121212
18,1.0,0.21893939393939396
19,1.0,0.3431818181818182
20,1.0,0.1871212121212121
