Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.32,                0.19,                0.47,0.0
10,               39.61,                1.21,              124.10,0.0
15,               44.97,                1.25,              239.10,0.0
20,               45.33,                1.29,              246.23,0.0
25,               45.37,                1.31,              246.25,0.0
30,               45.57,                1.35,              246.29,0.0
35,               45.61,                1.39,              246.33,0.0
40,               45.65,                1.41,              246.35,0.0
45,               45.73,                1.47,              246.39,0.0
50,               46.93,                1.51,              246.45,0.0
55,               47.22,                1.61,              246.51,0.0
60,               51.82,                3.33,              246.61,0.0
65,               56.03,                4.27,              249.37,0.0
70,               75.64,               21.49,              264.33,0.0
75,              118.53,               44.19,              304.33,0.0
80,              198.55,              110.53,              357.69,0.0
85,              315.29,              229.05,              520.53,0.0
90,              515.21,              388.23,              753.39,0.0
95,              893.00,              719.37,             1026.31,0.0
100,             2237.88,             1936.12,             2394.10,0.0
