Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.22,                0.21,                0.23,0.0
10,                0.26,                0.25,                0.29,0.0
15,                0.29,                0.27,                0.31,0.0
20,                0.32,                0.31,                0.35,0.0
25,                0.36,                0.35,                0.39,0.0
30,                0.40,                0.37,                0.43,0.0
35,                0.44,                0.41,                0.47,0.0
40,                0.50,                0.47,                0.55,0.0
45,                0.59,                0.55,                0.65,0.0
50,                0.94,                0.81,                1.15,0.0
55,                7.91,                1.25,               28.25,0.0
60,                8.00,                1.31,               28.31,0.0
65,                8.65,                1.37,               28.39,0.0
70,                8.89,                1.43,               28.51,0.0
75,                9.88,                1.57,               28.73,0.0
80,               15.88,                3.25,               37.25,0.0
85,               44.80,               21.10,               83.10,0.0
90,              155.02,               92.33,              223.10,0.0
95,              485.32,              237.51,              724.37,0.0
100,             2016.58,             1260.75,             2386.39,0.0
