Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.69,                0.55,                0.97,0.0
10,               56.96,               10.21,              132.10,0.0
15,               64.11,               10.23,              212.17,0.0
20,               64.14,               10.29,              212.23,0.0
25,               64.18,               10.31,              212.25,0.0
30,               64.22,               10.35,              212.29,0.0
35,               64.26,               10.39,              212.33,0.0
40,               64.31,               10.45,              212.35,0.0
45,               64.37,               10.49,              212.41,0.0
50,               66.67,               10.55,              212.45,0.0
55,               67.29,               10.67,              212.53,0.0
60,               69.73,               12.43,              212.69,0.0
65,               76.43,               13.39,              226.41,0.0
70,              101.06,               22.57,              239.43,0.0
75,              142.78,               78.39,              255.71,0.0
80,              219.98,              124.31,              322.45,0.0
85,              329.70,              217.41,              477.39,0.0
90,              520.29,              346.23,              804.27,0.0
95,              883.39,              710.27,             1170.19,0.0
100,             2192.83,             1877.10,             2383.10,0.0
