Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.67,                0.55,                0.85,0.0
10,               53.65,                3.23,              188.12,0.0
15,               62.71,                3.27,              262.19,0.0
20,               66.13,                3.31,              312.19,0.0
25,               66.17,                3.35,              312.25,0.0
30,               66.30,                3.39,              312.29,0.0
35,               66.33,                3.45,              312.33,0.0
40,               66.37,                3.49,              312.37,0.0
45,               66.42,                3.63,              312.41,0.0
50,               66.50,                4.21,              312.49,0.0
55,               66.91,                4.35,              312.59,0.0
60,               71.06,                4.49,              319.19,0.0
65,               78.77,               11.59,              319.43,0.0
70,               98.69,               22.55,              324.43,0.0
75,              144.44,               56.23,              341.31,0.0
80,              220.77,              107.21,              438.10,0.0
85,              338.16,              184.53,              556.19,0.0
90,              523.11,              303.57,              693.39,0.0
95,              906.85,              594.21,             1158.10,0.0
100,             2231.00,             1855.10,             2400.10,0.0
