Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.27,                0.25,                0.31,0.0
10,                0.36,                0.33,                0.41,0.0
15,                0.47,                0.43,                0.51,0.0
20,                0.85,                0.67,                1.17,0.0
25,               17.34,                1.23,               52.21,0.0
30,               17.41,                1.27,               52.25,0.0
35,               17.45,                1.31,               52.29,0.0
40,               17.60,                1.33,               52.33,0.0
45,               17.65,                1.39,               52.35,0.0
50,               17.70,                1.43,               52.41,0.0
55,               18.37,                1.49,               52.47,0.0
60,               18.73,                1.59,               52.53,0.0
65,               22.40,                2.65,               65.23,0.0
70,               28.66,                5.41,               74.29,0.0
75,               50.40,               23.23,               94.99,0.0
80,              109.86,               71.25,              172.35,0.0
85,              214.98,              112.23,              329.10,0.0
90,              413.41,              209.65,              608.21,0.0
95,              776.09,              466.10,             1067.41,0.0
100,             2153.10,             1713.53,             2380.10,0.0
