Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.10,                0.07,                0.13,0.0
10,                0.38,                0.27,                0.51,0.0
15,               36.52,                2.21,              104.19,0.0
20,               36.70,                2.25,              104.23,0.0
25,               36.74,                2.29,              104.27,0.0
30,               36.78,                2.31,              104.33,0.0
35,               36.82,                2.37,              104.37,0.0
40,               36.86,                2.41,              104.43,0.0
45,               36.91,                2.45,              104.53,0.0
50,               37.01,                2.51,              104.73,0.0
55,               38.31,                2.59,              107.29,0.0
60,               41.89,                2.83,              109.33,0.0
65,               47.60,                3.49,              126.33,0.0
70,               69.77,               17.43,              142.59,0.0
75,              111.62,               49.23,              164.35,0.0
80,              184.04,              122.55,              250.27,0.0
85,              298.59,              217.29,              444.10,0.0
90,              481.50,              297.41,              758.10,0.0
95,              852.89,              621.10,             1140.59,0.0
100,             2187.86,             1789.10,             2383.10,0.0
