Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.28,                0.25,                0.29,0.0
10,                0.35,                0.33,                0.37,0.0
15,                0.46,                0.43,                0.51,0.0
20,                0.82,                0.69,                1.01,0.0
25,               20.96,                3.23,               72.19,0.0
30,               21.01,                3.27,               72.25,0.0
35,               21.06,                3.31,               72.29,0.0
40,               21.35,                3.35,               72.33,0.0
45,               21.40,                3.39,               72.37,0.0
50,               22.17,                3.45,               72.41,0.0
55,               22.25,                3.51,               72.49,0.0
60,               22.83,                3.61,               72.61,0.0
65,               25.04,                4.75,               73.05,0.0
70,               31.65,                7.41,               75.45,0.0
75,               60.89,               28.25,               96.10,0.0
80,              121.27,               61.75,              171.25,0.0
85,              225.74,              123.23,              318.41,0.0
90,              409.75,              262.33,              532.37,0.0
95,              765.21,              441.10,             1051.10,0.0
100,             2085.84,             1668.10,             2397.10,0.0
