Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.05,                0.05,                0.05,0.0
10,                0.06,                0.05,                0.07,0.0
15,                0.07,                0.07,                0.07,0.0
20,                0.09,                0.07,                0.09,0.0
25,                0.10,                0.09,                0.11,0.0
30,                0.12,                0.11,                0.13,0.0
35,                0.15,                0.13,                0.17,0.0
40,                0.19,                0.17,                0.21,0.0
45,                0.24,                0.21,                0.27,0.0
50,                0.53,                0.43,                0.69,0.0
55,                6.79,                1.23,               24.25,0.0
60,                6.86,                1.31,               24.31,0.0
65,                6.92,                1.37,               24.37,0.0
70,                7.00,                1.43,               24.45,0.0
75,                7.67,                1.53,               24.61,0.0
80,               11.93,                2.57,               29.35,0.0
85,               38.50,               21.59,               80.19,0.0
90,              145.01,               82.37,              203.31,0.0
95,              451.65,              247.19,              594.23,0.0
100,             2141.46,             1808.10,             2386.10,0.0
