Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,               92.54,               45.17,              135.12,0.0
10,              187.36,               45.23,              263.10,0.0
15,              253.46,               45.27,              377.19,0.0
20,              304.45,               45.29,              497.17,0.0
25,              341.73,               45.31,              622.10,0.0
30,              353.99,               45.35,              700.10,0.0
35,              361.61,               45.39,              801.10,0.0
40,              366.10,               45.43,              908.12,0.0
45,              366.15,               45.47,              908.25,0.0
50,              366.20,               45.55,              908.29,0.0
55,              366.28,               45.63,              908.35,0.0
60,              367.35,               46.01,              908.39,0.0
65,              370.14,               56.25,              908.43,0.0
70,              383.89,               72.23,              908.51,0.0
75,              416.74,              106.10,              908.75,0.0
80,              471.61,              233.27,              936.35,0.0
85,              576.53,              299.39,             1036.59,0.0
90,              758.68,              410.49,             1210.10,0.0
95,             1089.60,              707.53,             1476.35,0.0
100,             2276.24,             2080.10,             2452.19,0.0
