Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.22,                0.21,                0.23,0.0
10,                0.26,                0.25,                0.27,0.0
15,                0.30,                0.29,                0.31,0.0
20,                0.33,                0.31,                0.35,0.0
25,                0.36,                0.35,                0.39,0.0
30,                0.40,                0.37,                0.43,0.0
35,                0.45,                0.43,                0.47,0.0
40,                0.50,                0.47,                0.53,0.0
45,                0.59,                0.57,                0.65,0.0
50,                0.98,                0.83,                1.13,0.0
55,                8.03,                1.25,               19.21,0.0
60,                8.10,                1.31,               19.29,0.0
65,                8.16,                1.37,               19.35,0.0
70,                8.25,                1.47,               19.43,0.0
75,                8.84,                1.63,               19.63,0.0
80,               14.77,                3.51,               31.41,0.0
85,               43.82,               17.31,               79.43,0.0
90,              137.02,               66.21,              226.10,0.0
95,              444.49,              205.19,              673.19,0.0
100,             2016.44,             1427.01,             2386.10,0.0
