Percentage,Propagation Time,Min Delay,Max Delay,Mean Loss
0,                0.00,                0.00,                0.00,0.0
5,                0.07,                0.05,                0.07,0.0
10,                0.10,                0.09,                0.11,0.0
15,                0.16,                0.13,                0.19,0.0
20,                0.45,                0.35,                0.75,0.0
25,               23.55,                1.23,               81.17,0.0
30,               23.60,                1.25,               81.23,0.0
35,               23.64,                1.29,               81.27,0.0
40,               23.69,                1.35,               81.31,0.0
45,               23.75,                1.39,               81.35,0.0
50,               25.31,                1.43,               81.39,0.0
55,               25.39,                1.49,               81.45,0.0
60,               25.61,                1.59,               81.53,0.0
65,               29.50,                1.77,               81.67,0.0
70,               34.90,                3.75,               88.55,0.0
75,               65.31,               37.33,              115.21,0.0
80,              117.36,               63.67,              172.10,0.0
85,              231.76,              164.19,              345.47,0.0
90,              416.12,              222.41,              583.31,0.0
95,              760.68,              559.47,              960.53,0.0
100,             2152.09,             1743.31,             2371.10,0.0
